31231.30	1	8.80
31239.80	1	8.50
31248.10	1	8.30
31254.90	2	6.80
31269.40	2	14.50
31274.60	1	5.20
31280.30	1	5.70
31287.00	1	6.70
31293.40	1	6.40
31300.20	1	6.80
31314.40	2	14.20
31319.80	1	5.40
31325.30	1	5.50
31333.60	1	8.30
31339.20	1	5.60
31346.10	1	6.90
31352.80	1	6.70
31361.60	1	8.80
31368.10	1	6.50
31377.00	1	8.90
31383.60	1	6.60
31389.40	1	5.80
31395.20	1	5.80
31402.00	2	6.80
31412.40	1	10.40
31431.20	4	18.80
31437.10	1	5.90
31444.30	1	7.20
31451.00	1	6.70
31460.80	1	9.80
31467.60	1	6.80
31473.60	1	6.00
31480.40	1	6.80
31487.50	1	7.10
31490.50	1	3.00
31501.40	3	10.90
31507.30	1	5.90
31513.40	1	6.10
31520.20	1	6.80
31535.80	2	15.60
31541.70	1	5.90
31547.70	1	6.00
31554.50	1	6.80
31561.80	1	7.30
31567.80	1	6.00
31567.80	2	0.00
31574.60	1	6.80
31578.30	1	3.70
31589.40	1	11.10
31595.50	1	6.10
31599.30	1	3.80
31603.20	1	3.90
31609.20	1	6.00
31613.10	1	3.90
31623.80	1	10.70
31629.70	1	5.90
31636.00	1	6.30
31642.80	1	6.80
31652.50	1	9.70
31658.30	1	5.80
31662.00	1	3.70
31665.00	1	3.00
31677.40	1	12.40
31680.50	1	3.10
31686.10	1	5.60
31694.80	1	8.70
31707.58	1	12.78
31713.68	1	6.10
31719.68	1	6.00
31728.78	1	9.10
31742.48	1	13.70
31745.48	1	3.00
31751.38	1	5.90
31760.98	1	9.60
31770.88	1	9.90
31777.48	1	6.60
31787.28	1	9.80
31793.38	1	6.10
31797.28	1	3.90
31803.08	1	5.80
31811.98	1	8.90
31818.58	1	6.60
31830.18	1	11.60
31836.08	2	5.90
31845.88	1	9.80
31854.48	1	8.60
31860.08	1	5.60
31860.08	1	0.00
31869.58	1	9.50
31875.28	1	5.70
31881.08	1	5.80
31893.38	2	12.30
31899.18	1	5.80
31907.78	1	8.60
31917.48	1	9.70
31923.38	1	5.90
31928.98	1	5.60
31941.38	2	12.40
31950.08	1	8.70
31953.08	1	3.00
31962.88	1	9.80
31965.78	1	2.90
31971.58	2	5.80
31977.38	1	5.80
31984.08	1	6.70
31989.78	1	5.70
31999.38	1	9.60
32005.18	1	5.80
32007.98	1	2.80
32020.18	2	12.20
32025.88	1	5.70
32031.68	1	5.80
32040.28	1	8.60
32047.58	1	7.30
32050.58	1	3.00
32059.08	1	8.50
32069.08	1	10.00
32074.98	1	5.90
32080.78	1	5.80
32083.68	1	2.90
32086.58	2	2.90
32093.38	1	6.80
32100.18	1	6.80
32108.88	1	8.70
32111.78	1	2.90
32118.64	1	6.86
32127.94	2	9.30
32135.84	1	7.90
32141.64	1	5.80
32153.54	2	11.90
32157.44	1	3.90
32166.84	1	9.40
32172.54	1	5.70
32181.34	1	8.80
32186.54	1	5.20
32189.34	1	2.80
32198.84	1	9.50
32209.54	1	10.70
32218.24	1	8.70
32224.14	1	5.90
32237.94	1	13.80
32243.74	1	5.8
32249.54	1	5.8
32256.04	1	6.5
32262.74	1	6.7
32265.54	1	2.8
32272.24	1	6.7
32309.94	1	37.7
32319.74	1	9.8
32326.44	1	6.7
32333.44	1	7
32345.04	1	11.6
32352.04	1	7
32359.54	1	7.5
32377.94	1	18.4
32388.44	2	10.5
32397.04	1	8.6
32401.04	1	4
32404.84	1	3.8
32410.44	1	5.6
32419.04	1	8.6
32425.84	1	6.8
32432.74	1	6.9
32439.34	1	6.6
32445.24	1	5.9
32450.94	1	5.7
32457.54	1	6.6
32472.84	1	15.3
32476.64	1	3.8
32483.24	1	6.6
32487.34	1	4.1
